nama_model,kode_model
Honda,705
BMW F 800 GT,137
Nova Motors Retro Star,1407
Aprilia RSV4,136
Kawasaki Ninja ZX-6R,1036
Aprilia Mojito 50,136
Suzuki V-Strom 650,1785
Yamaha MT-09,2016
Kymco Super Dink 125,1165
Yamaha MT-09,2016
Harley-Davidson Sport Glide,671
Indian FTR 1200,895
Ural Ranger,1899
Kymco Agility 125,1106
Harley-Davidson Night Rod,661
Ducati Hypermotard 939,510
BMW R nineT,255
Harley-Davidson Road King,666
Kawasaki Versys 650,1045
BMW R 1200 C Montauk,207
Harley-Davidson Softail,669
Yamaha,1986
Suzuki,1718
BMW R nineT,255
Others,1416
Peugeot Metropolis,1457
Triumph Bonneville T100,1842
Kawasaki Vulcan S,1049
Triumph Speed Triple 1050,1856
Harley-Davidson Low Rider,660
Ducati Multistrada 1200,525
Kawasaki,989
Piaggio NRG 50,1510
BMW S 1000 XR,260
Ducati Multistrada 1200,525
Harley-Davidson Road King,666
Harley-Davidson V-Rod,689
MV Agusta Brutale 675,1237
Harley-Davidson Late Shovel,658
Honda CRF 100,742
Kawasaki Z 1000,1052
Triumph Bonneville T120,1843
KTM 1190 RC8,933
Yamaha RD 350,2028
BMW C 650 GT,136
Kawasaki Versys 1000,1044
Zero,2051
Bimota 500 V,332
KSR Moto Sirion 125,922
Online,1409
Triumph Thruxton,1874
Yamaha Niken,2027
Harley-Davidson Road King,666
Harley-Davidson Road King,666
Ducati XDiavel,536
BMW F 800 GT,137
BMW S 1000 XR,260
Ducati Multistrada 1200,525
Triumph Tiger 800,1883
TM SMR 300 2T,1816
Honda X-ADV,835
Mash City,1288
Honda X-ADV,835
Harley-Davidson,623
BMW C 650 GT,136
BMW R 1200 RT,215
Piaggio XEvo 125,1525
BMW F 900 XR,142
Piaggio MP3 500,1505
Vespa Primavera 50,1944
Yamaha YZF-R1,2051
Triumph Bonneville T100,1842
Honda NC 750,781
Access,136
Piaggio MP3 300,1502
Honda SH 150,799
Kawasaki Ninja 1000SX,1026
Honda NC 750,781
Harley-Davidson Dyna Super Glide,639
Honda Crosstourer,753
Ducati Monster 796,518
Yamaha X-Max 400,2051
BMW R 1200 GS,209
Suzuki Intruder M,1760
Kawasaki Ninja ZX-6R,1036
Suzuki V-Strom 1050,1784
SYM GTS 300,1639
Ducati 899 Panigale,496
Ducati Monster 1100,515
BMW R 1250 RS,221
KTM 1290 Super Duke GT,941
Indian Chieftain,893
KTM 1190 Adventure,932
Kawasaki Ninja 650,1031
Honda NC 750,781
BMW C 650 GT,136
Suzuki GSX-R 600,1747
Arctic Cat 1000,136
Honda,705
Harley-Davidson Sportster 1200,674
Harley-Davidson Fat Boy,649
Yamaha X-City 250,2051
Harley-Davidson,623
BMW R 1200 RT,215
BMW R 80,243
Victory High-Ball,1965
Aprilia SR 50,136
Moto Guzzi V 7,1362
Kymco People S 200i,1157
BMW S 1000 RR,259
Honda CRF 1000,743
Honda CB 1000,710
Honda CBF 600,726
Ducati Diavel,506
Yamaha MT-03,2014
Yamaha XVS 1300,2051
BMW F 850 GS,140
Ducati Diavel,506
Lambretta,1186
Honda CB 500,716
Moto Guzzi V 7,1362
Yamaha Tracer 900,2051
Moto Guzzi,1314
Kawasaki Z 900,1060
Harley-Davidson,623
Harley-Davidson Rocker C,668
LML Star 150,1183
Yamaha SCR 950,2031
Honda CB 650,719
Aprilia Scarabeo,136
Peugeot Metropolis,533
Ducati Scrambler,972
KTM 790 Adventure,676
Harley-Davidson Sportster Forty Eight,509
Ducati Hypermotard 821,1118
Kymco Dink 50,1992
Yamaha D'elight,1986
Yamaha,895
Indian FTR 1200,1856
Triumph Speed Triple 1050,516
Ducati Monster 1200,674
Harley-Davidson Sportster 1200,533
Ducati Scrambler,219
BMW R 1250 GS Adventure,222
BMW R 1250 RT,666
Harley-Davidson Road King,136
BMW F 800 GS,1718
Suzuki,1497
Piaggio Liberty 125,153
BMW HP4,851
Husqvarna,215
BMW R 1200 RT,744
Honda CRF 1100,2051
Yamaha X-Max 300,525
Ducati Multistrada 1200,215
BMW R 1200 RT,1245
MV Agusta Dragster,1532
Piaggio Zip SP,1883
Triumph Tiger 800,942
KTM 1290 Super Duke R,623
Harley-Davidson,1761
Suzuki Katana 1000,705
Honda,648
Harley-Davidson Fat Bob,2051
Yamaha XT 1200,1050
Kawasaki W 800,743
Honda CRF 1000,210
BMW R 1200 GS Adventure,1040
Kawasaki VN 1700,1163
Kymco Super 8,218
BMW R 1250 GS,1049
Kawasaki Vulcan S,692
Harley-Davidson VRSC V-Rod,666
Harley-Davidson Road King,666
Harley-Davidson Road King,893
Indian Chieftain,726
Honda CBF 600,1036
Kawasaki Ninja ZX-6R,259
BMW S 1000 RR,1202
Lifan King 125,2026
Yamaha NMAX,1751
Suzuki GSX-S 750,1744
Suzuki GSX-R 1000,798
Honda SH 125,1793
Suzuki VZR 1800,413
Can Am Maverick,1044
Kawasaki Versys 1000,1045
Kawasaki Versys 650,255
BMW R nineT,1726
Suzuki Burgman 200,516
Ducati Monster 1200,255
BMW R nineT,646
Harley-Davidson FXD,1881
Triumph Tiger 1050,470
Ducati,143
BMW G 310 GS,525
Ducati Multistrada 1200,895
Indian FTR 1200,209
BMW R 1200 GS,1437
Peugeot,2035
Yamaha Slider 50,258
BMW S 1000 R,136
Aprilia,1986
Yamaha,1105
Kymco AK 550,1842
Triumph Bonneville T100,1033
Kawasaki Ninja ZX-10R,675
Harley-Davidson Sportster 883,1915
Vespa 50,932
KTM 1190 Adventure,2051
Yamaha Ténéré 700,623
Harley-Davidson,259
BMW S 1000 RR,1045
Kawasaki Versys 650,181
BMW R 100,689
Harley-Davidson V-Rod,1744
Suzuki GSX-R 1000,136
Aprilia Scarabeo,2051
Yamaha Tracer 900,769
Honda GL 1800,1060
Kawasaki Z 900,1044
Kawasaki Versys 1000,136
BMW F 750 GS,1852
Triumph Rocket III Touring,705
Honda,2051
Yamaha XSR 900,2016
Yamaha MT-09,639
Harley-Davidson Dyna Super Glide,224
BMW R 26,1416
Others,1110
Kymco Agility 50,2051
Yamaha YZF-R1,1729
Suzuki Burgman 650,212
BMW R 1200 R,1208
Luxxon,209
BMW R 1200 GS,1014
Kawasaki KLR 600,994
Kawasaki 900 Z,255
BMW R nineT,215
BMW R 1200 RT,525
Ducati Multistrada 1200,1869
Triumph Street Twin,769
Honda GL 1800,953
KTM 350 EXC,1239
MV Agusta Brutale 800,883
Hyosung GT 650i,1549
Polini,2051
Yamaha XV 1700,1088
Keeway Superlight,215
BMW R 1200 RT,675
Harley-Davidson Sportster 883,138
BMW F 800 R,136
BMW C 400 GT,529
Ducati Panigale V4,136
BMW F 800 GS,743
Honda CRF 1000,255
BMW R nineT,136
Aprilia Caponord 1200,699
Hercules,511
Ducati Hypermotard 950,912
Jonway,1130
Kymco Like 125,1038
Kawasaki VN 1500,1040
Kawasaki VN 1700,972
KTM 790 Adventure,798
Honda SH 125,648
Harley-Davidson Fat Bob,1478
Piaggio,676
Harley-Davidson Sportster Forty Eight,623
Harley-Davidson,623
Harley-Davidson,533
Ducati Scrambler,215
BMW R 1200 RT,209
BMW R 1200 GS,1728
Suzuki Burgman 400,1783
Suzuki V-Strom 1000,1478
Piaggio,1975
Victory Vision Tour,1324
Moto Guzzi 850 Le Mans,259
BMW S 1000 RR,2042
Yamaha TMAX 560,798
Honda SH 125,771
Honda Gold Wing,1986
Yamaha,255
BMW R nineT,1745
Suzuki GSX-R 1100,781
Honda NC 750,692
Harley-Davidson VRSC V-Rod,243
BMW R 80,1453
Peugeot Kisbee,753
Honda Crosstourer,529
Ducati Panigale V4,2051
Yamaha X-Max 400,1718
Suzuki,2016
Yamaha MT-09,258
BMW S 1000 R,209
BMW R 1200 GS,705
Honda,1141
Kymco MXU 550,1508
Piaggio Medley 125,1529
Piaggio Zip 50,526
Ducati Multistrada 1260,524
Ducati Multistrada 1100,136
BMW F 750 GS,1833
Triumph,209
BMW R 1200 GS,410
Can Am,2051
Yamaha XTZ 1200,2015
Yamaha MT-07,1324
Moto Guzzi 850 Le Mans,947
KTM 250 EXC,710
Honda CB 1000,260
BMW S 1000 XR,666
Harley-Davidson Road King,649
Harley-Davidson Fat Boy,1156
Kymco People S 125,1851
Triumph Rocket III Roadster,136
BMW F 750 GS,533
Ducati Scrambler,1324
Moto Guzzi 850 Le Mans,942
KTM 1290 Super Duke R,674
Harley-Davidson Sportster 1200,758
Honda F 6 C,1499
Piaggio Liberty 50,1986
Yamaha,174
BMW K 1600 GT,1108
Kymco Agility 200,1852
Triumph Rocket III Touring,940
KTM 1290 Super Adventure,1466
Peugeot Speedfight,1104
Kymco,739
Honda CMX 500,1251
MV Agusta F4 750,255
BMW R nineT,1503
Piaggio MP3 350,1846
Triumph Daytona 675,1761
Suzuki Katana 1000,1416
Others,516
Ducati Monster 1200,1998
Yamaha FJR 1300,2051
Yamaha YZF-R1,1062
Kawasaki Z1000 SX,1403
Nova Motors,1562
Quadix Buggy 1100,1362
Moto Guzzi V 7,1172
Kymco X-Town,570
Fantic 250E,2041
Yamaha TMAX 530,1986
Yamaha,211
BMW R 1200 GS LC,526
Ducati Multistrada 1260,1842
Triumph Bonneville T100,989
Kawasaki,1784
Suzuki V-Strom 1050,1535
Polaris Outlaw,2044
Yamaha TMAX SX,682
Harley-Davidson Street Rod,136
Aprilia RSV4,526
Ducati Multistrada 1260,2051
Yamaha YZF-R1,942
KTM 1290 Super Duke R,2017
Yamaha MT-10,719
Honda CB 650,942
KTM 1290 Super Duke R,716
Honda CB 500,153
BMW HP4,2016
Yamaha MT-09,1521
Piaggio X 10,255
BMW R nineT,1033
Kawasaki Ninja ZX-10R,2027
Yamaha Niken,220
BMW R 1250 R,1362
Moto Guzzi V 7,2051
Znen Legend Scooter,672
Harley-Davidson Sportster,956
KTM 390 Duke,2016
Yamaha MT-09,1505
Piaggio MP3 500,2022
Yamaha Majesty 400,643
Harley-Davidson Electra Glide,973
KTM 790 Duke,719
Honda CB 650,255
BMW R nineT,1060
Kawasaki Z 900,1136
Kymco MXU 300,136
BMW C 650,140
BMW F 850 GS,136
Ariel Motorcycles HT,533
Ducati Scrambler,2051
Yamaha YZF-R6,669
Harley-Davidson Softail,533
Ducati Scrambler,1416
Others,781
Honda NC 750,727
Honda CBR 1000,1883
Triumph Tiger 800,209
BMW R 1200 GS,574
Fantic Caballero 500,1761
Suzuki Katana 1000,214
BMW R 1200 RS,1267
Malaguti Blog 160,1195
Laverda 1000,1294
Mash Seventyfive 125,748
Honda CTX 700,1052
